,Weight (%),Ann. Return (%),Ann. Vol (%),MVaR,CVaR,Risk Contribution (%)
AAPL,8.3333,38.2265,24.0347,0.0159,0.0013,9.2679
CAT,8.3333,16.8625,23.0514,0.0207,0.0017,12.0581
CVX,8.3333,5.6129,18.0306,0.0153,0.0013,8.8719
GS,8.3333,22.5612,21.3844,0.0207,0.0017,12.0344
HON,8.3333,14.6055,16.1876,0.0153,0.0013,8.9265
JNJ,8.3333,13.8559,13.2854,0.0085,0.0007,4.9382
JPM,8.3333,20.1175,17.9596,0.0174,0.0015,10.1315
KO,8.3333,8.1609,12.9851,0.008,0.0007,4.6377
MSFT,8.3333,18.3505,18.9291,0.0129,0.0011,7.4779
PG,8.3333,7.2472,13.3269,0.0074,0.0006,4.3121
UNH,8.3333,17.6353,22.249,0.0145,0.0012,8.4513
XOM,8.3333,7.1858,17.9365,0.0153,0.0013,8.8925
