,Weight (%),Ann. Return (%),Ann. Vol (%),MVaR,CVaR,Risk Contribution (%)
AAPL,8.3333,13.0867,32.8009,0.03,0.0025,10.4894
CAT,8.3333,18.4375,29.9263,0.0327,0.0027,11.408
CVX,8.3333,16.9302,24.3756,0.0254,0.0021,8.8548
GS,8.3333,2.422,29.2366,0.0326,0.0027,11.3771
HON,8.3333,11.3612,22.986,0.0258,0.0021,8.9963
JNJ,8.3333,6.4338,15.1876,0.0125,0.001,4.3716
JPM,8.3333,7.4904,29.2798,0.0318,0.0027,11.1091
KO,8.3333,13.3963,15.8741,0.013,0.0011,4.5484
MSFT,8.3333,17.3726,26.2295,0.0251,0.0021,8.7616
PG,8.3333,12.2513,16.5493,0.0127,0.0011,4.4417
UNH,8.3333,3.2222,28.1849,0.0207,0.0017,7.2291
XOM,8.3333,9.3314,23.9754,0.0241,0.002,8.4131
