,Weight (%),Ann. Return (%),Ann. Vol (%),MVaR,CVaR,Risk Contribution (%)
AAPL,8.3333,17.3765,49.6583,0.0564,0.0047,8.0539
CAT,8.3333,-2.4318,53.636,0.0652,0.0054,9.3056
CVX,8.3333,-1.4092,54.3857,0.0685,0.0057,9.7769
GS,8.3333,-3.0884,67.9027,0.0824,0.0069,11.7669
HON,8.3333,-3.2297,46.6314,0.0598,0.005,8.5376
JNJ,8.3333,-5.4399,29.4525,0.0328,0.0027,4.6792
JPM,8.3333,2.03,74.9057,0.0887,0.0074,12.6668
KO,8.3333,-0.104,32.6832,0.0367,0.0031,5.2336
MSFT,8.3333,2.5181,45.8803,0.0554,0.0046,7.9097
PG,8.3333,-3.3201,31.2119,0.0343,0.0029,4.9003
UNH,8.3333,5.8103,57.6674,0.0613,0.0051,8.751
XOM,8.3333,2.2816,48.1492,0.059,0.0049,8.4185
