,AAPL,CAT,CVX,GS,HON,JNJ,JPM,KO,MSFT,PG,UNH,XOM
AAPL,1.0,0.6097915272727056,0.5758701560158775,0.5922887192996081,0.6221133801429377,0.5398576586943663,0.5829999365021544,0.5127268539978798,0.7352043595575328,0.555558298736863,0.5154117962149972,0.55996253419279
CAT,0.6097915272727056,1.0,0.7390695448110307,0.6846978331129141,0.7990355559064215,0.5722864295053931,0.6713868848007116,0.5982924291465246,0.6544336254547052,0.5530251148612609,0.5203261719972716,0.7187230397817633
CVX,0.5758701560158775,0.7390695448110307,1.0,0.6502713228484449,0.7506376781198112,0.590865999365704,0.662529588222421,0.6120024563505665,0.6487779005582063,0.5787191394070258,0.5594955677890795,0.905117224531744
GS,0.5922887192996081,0.6846978331129141,0.6502713228484449,1.0,0.6938121806870002,0.5260018993363784,0.8075703212526972,0.5369929096590509,0.6213073938312882,0.5175834753066209,0.5393717412148745,0.6156427999884768
HON,0.6221133801429377,0.7990355559064215,0.7506376781198112,0.6938121806870002,1.0,0.6296284056285437,0.7039270242923655,0.6752025905154914,0.6726332003669071,0.615843573694554,0.5850943415776249,0.7260016896971115
JNJ,0.5398576586943663,0.5722864295053931,0.590865999365704,0.5260018993363784,0.6296284056285437,1.0,0.5119452900082904,0.6879512370615447,0.6184681897654837,0.7426665396794986,0.61941035008258,0.5855373408844781
JPM,0.5829999365021544,0.6713868848007116,0.662529588222421,0.8075703212526972,0.7039270242923655,0.5119452900082904,1.0,0.5677742012284369,0.5966638930190394,0.5569247500055867,0.5272171417286328,0.6358952071365476
KO,0.5127268539978798,0.5982924291465246,0.6120024563505665,0.5369929096590509,0.6752025905154914,0.6879512370615447,0.5677742012284369,1.0,0.5953494072643645,0.6920026109402796,0.5731935297982163,0.6180082143719563
MSFT,0.7352043595575328,0.6544336254547052,0.6487779005582063,0.6213073938312882,0.6726332003669071,0.6184681897654837,0.5966638930190394,0.5953494072643645,1.0,0.6297562045331936,0.5688721067216552,0.6322211092321273
PG,0.555558298736863,0.5530251148612609,0.5787191394070258,0.5175834753066209,0.615843573694554,0.7426665396794986,0.5569247500055867,0.6920026109402796,0.6297562045331936,1.0,0.5629149161923006,0.59242386061659
UNH,0.5154117962149972,0.5203261719972716,0.5594955677890795,0.5393717412148745,0.5850943415776249,0.61941035008258,0.5272171417286328,0.5731935297982163,0.5688721067216552,0.5629149161923006,1.0,0.5301406256990044
XOM,0.55996253419279,0.7187230397817633,0.905117224531744,0.6156427999884768,0.7260016896971115,0.5855373408844781,0.6358952071365476,0.6180082143719563,0.6322211092321273,0.59242386061659,0.5301406256990044,1.0
