,AAPL,CAT,CVX,GS,HON,JNJ,JPM,KO,MSFT,PG,UNH,XOM
AAPL,1.0,0.22444824530270518,0.1049932211042376,0.22459715799381885,0.2482080704226442,0.08223232121260843,0.19477310678582208,0.11788331923685112,0.33315060654562945,0.09242553245600757,0.13074276422995051,0.09298100307055455
CAT,0.22444824530270518,1.0,0.3719486268619135,0.45033392398061134,0.4576867233210314,0.16240550641435153,0.4220320330520842,0.11366720481548058,0.242567194169572,0.08643324031976767,0.15696337789393422,0.36576316406129117
CVX,0.1049932211042376,0.3719486268619135,1.0,0.29568768009886115,0.29110178306779105,0.17276753383526378,0.30601243892731406,0.15921120162706448,0.10911890576121715,0.11143610748787791,0.16230802933186922,0.7718135079349662
GS,0.22459715799381885,0.45033392398061134,0.29568768009886115,1.0,0.40462447594666384,0.17850130223039254,0.7025549677808537,0.12332891918505626,0.26819479941743585,0.09829865887219127,0.20041259587814697,0.30445863433629955
HON,0.2482080704226442,0.4576867233210314,0.29110178306779105,0.40462447594666384,1.0,0.30100950439054935,0.42528715837971026,0.2913200651342574,0.31428621606539986,0.2648659366081548,0.2638509144065704,0.2830807224474773
JNJ,0.08223232121260843,0.16240550641435153,0.17276753383526378,0.17850130223039254,0.30100950439054935,1.0,0.22949940701478883,0.35605006580653553,0.14486079309205502,0.38635612923781265,0.25946897078506387,0.18751399934807225
JPM,0.19477310678582208,0.4220320330520842,0.30601243892731406,0.7025549677808537,0.42528715837971026,0.22949940701478883,1.0,0.18022512472999008,0.2644052736985558,0.15632295829637669,0.22319104301508977,0.3038220474484645
KO,0.11788331923685112,0.11366720481548058,0.15921120162706448,0.12332891918505626,0.2913200651342574,0.35605006580653553,0.18022512472999008,1.0,0.19464464542000684,0.503347126847233,0.2011383463189467,0.17664341640814618
MSFT,0.33315060654562945,0.242567194169572,0.10911890576121715,0.26819479941743585,0.31428621606539986,0.14486079309205502,0.2644052736985558,0.19464464542000684,1.0,0.16779493703855067,0.13397106563025596,0.10552547988004768
PG,0.09242553245600757,0.08643324031976767,0.11143610748787791,0.09829865887219127,0.2648659366081548,0.38635612923781265,0.15632295829637669,0.503347126847233,0.16779493703855067,1.0,0.19627231019696006,0.13863606984551077
UNH,0.13074276422995051,0.15696337789393422,0.16230802933186922,0.20041259587814697,0.2638509144065704,0.25946897078506387,0.22319104301508977,0.2011383463189467,0.13397106563025596,0.19627231019696006,1.0,0.16601257620316992
XOM,0.09298100307055455,0.36576316406129117,0.7718135079349662,0.30445863433629955,0.2830807224474773,0.18751399934807225,0.3038220474484645,0.17664341640814618,0.10552547988004768,0.13863606984551077,0.16601257620316992,1.0
