,AAPL,CAT,CVX,GS,HON,JNJ,JPM,KO,MSFT,PG,UNH,XOM
AAPL,1.0,0.4020744492654356,0.3248926763199872,0.40654931989802534,0.42191307607440565,0.27322539239094845,0.3824363862287918,0.2926031614240684,0.5270625598061661,0.29586840600371317,0.29037968780047024,0.3136451900463794
CAT,0.4020744492654356,1.0,0.5650283832531404,0.5624960348414584,0.6368809467451606,0.33968846002203285,0.5584877678384594,0.34057854168619,0.4280165773757366,0.3015169899493987,0.32021702126841295,0.5516519943502695
CVX,0.3248926763199872,0.5650283832531404,1.0,0.4678144705224275,0.5147746502788387,0.354123819272844,0.48853253449116857,0.3713341587278951,0.3633141398534211,0.32225159203813075,0.3256537787536338,0.8449453981122147
GS,0.40654931989802534,0.5624960348414584,0.4678144705224275,1.0,0.5530779473667036,0.34420412289624547,0.7677638017497757,0.3317827623434575,0.44114761144277576,0.3060379069510774,0.34390592210123166,0.4582051988458125
HON,0.42191307607440565,0.6368809467451606,0.5147746502788387,0.5530779473667036,1.0,0.44129879941729416,0.5780530501191637,0.46431571371047875,0.49375444138522967,0.4207371611370794,0.4015178715732551,0.4954136871340415
JNJ,0.27322539239094845,0.33968846002203285,0.354123819272844,0.34420412289624547,0.44129879941729416,1.0,0.3778416033030657,0.49352687015766894,0.35146172091217087,0.5243885410221198,0.4026957584768434,0.354852643221822
JPM,0.3824363862287918,0.5584877678384594,0.48853253449116857,0.7677638017497757,0.5780530501191637,0.3778416033030657,1.0,0.38237724920701816,0.43253404086002145,0.35477051036326024,0.3645619857838516,0.4785821479175123
KO,0.2926031614240684,0.34057854168619,0.3713341587278951,0.3317827623434575,0.46431571371047875,0.49352687015766894,0.38237724920701816,1.0,0.3775916340306498,0.5791835027388433,0.34646980890325896,0.3742578193971342
MSFT,0.5270625598061661,0.4280165773757366,0.3633141398534211,0.44114761144277576,0.49375444138522967,0.35146172091217087,0.43253404086002145,0.3775916340306498,1.0,0.3707488889506752,0.3293393603785091,0.34284729171531975
PG,0.29586840600371317,0.3015169899493987,0.32225159203813075,0.3060379069510774,0.4207371611370794,0.5243885410221198,0.35477051036326024,0.5791835027388433,0.3707488889506752,1.0,0.34258456057527914,0.3340786577043902
UNH,0.29037968780047024,0.32021702126841295,0.3256537787536338,0.34390592210123166,0.4015178715732551,0.4026957584768434,0.3645619857838516,0.34646980890325896,0.3293393603785091,0.34258456057527914,1.0,0.30871662206381456
XOM,0.3136451900463794,0.5516519943502695,0.8449453981122147,0.4582051988458125,0.4954136871340415,0.354852643221822,0.4785821479175123,0.3742578193971342,0.34284729171531975,0.3340786577043902,0.30871662206381456,1.0
