,AAPL,CAT,CVX,GS,HON,JNJ,JPM,KO,MSFT,PG,UNH,XOM
AAPL,1.0,0.40996440729069267,0.3298988159656698,0.42883406628655624,0.4211751611052973,0.27228206370545777,0.37931398339063466,0.2982937887822967,0.5473429820870431,0.30327096047096563,0.27962583667658525,0.32139993926111254
CAT,0.40996440729069267,1.0,0.5748918602581585,0.549652725501945,0.64588673120144,0.33390798255746834,0.5493353325550586,0.3315889486839553,0.41680114669295165,0.2944580116089222,0.30513600611468145,0.5624224175404753
CVX,0.3298988159656698,0.5748918602581585,1.0,0.45601561445632255,0.4978585293275646,0.3471452397108962,0.4654686232031943,0.3540772481423122,0.35110961459167483,0.30037846866811574,0.28919248915887336,0.854914419264409
GS,0.42883406628655624,0.549652725501945,0.45601561445632255,1.0,0.5442815613063942,0.35511769832571244,0.7781881778725969,0.34128996495987945,0.4478267575178436,0.3184063878078491,0.3183524778296942,0.4496318892397005
HON,0.4211751611052973,0.64588673120144,0.4978585293275646,0.5442815613063942,1.0,0.426358170454032,0.5654947188747819,0.4354849985629042,0.5024264829051471,0.4020904283069471,0.38017947572736,0.4744286764143169
JNJ,0.27228206370545777,0.33390798255746834,0.3471452397108962,0.35511769832571244,0.426358170454032,1.0,0.4025727992526737,0.4830484060299969,0.3505522403904549,0.5017805200445058,0.3837522685718235,0.3377355547371681
JPM,0.37931398339063466,0.5493353325550586,0.4654686232031943,0.7781881778725969,0.5654947188747819,0.4025727992526737,1.0,0.3784920944204189,0.4284295476604813,0.34795273714621566,0.34804405024072355,0.4581404101693344
KO,0.2982937887822967,0.3315889486839553,0.3540772481423122,0.34128996495987945,0.4354849985629042,0.4830484060299969,0.3784920944204189,1.0,0.3779356605529661,0.5622879143591657,0.308153083572402,0.348978781032956
MSFT,0.5473429820870431,0.41680114669295165,0.35110961459167483,0.4478267575178436,0.5024264829051471,0.3505522403904549,0.4284295476604813,0.3779356605529661,1.0,0.3609247728437274,0.3307254142006672,0.31316706660278554
PG,0.30327096047096563,0.2944580116089222,0.30037846866811574,0.3184063878078491,0.4020904283069471,0.5017805200445058,0.34795273714621566,0.5622879143591657,0.3609247728437274,1.0,0.3108513671221864,0.3001143873384517
UNH,0.27962583667658525,0.30513600611468145,0.28919248915887336,0.3183524778296942,0.38017947572736,0.3837522685718235,0.34804405024072355,0.308153083572402,0.3307254142006672,0.3108513671221864,1.0,0.2601524525367221
XOM,0.32139993926111254,0.5624224175404753,0.854914419264409,0.4496318892397005,0.4744286764143169,0.3377355547371681,0.4581404101693344,0.348978781032956,0.31316706660278554,0.3001143873384517,0.2601524525367221,1.0
